stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
BCNY,"Bas-Chantenay",,47.19818765,-1.58919452,,,1,,
BCOI,"Branchoire",,47.21800419,-1.60340575,,,1,,
BCTT,"Blanchet",,47.17130941,-1.54326782,,,1,,
BDAN,"Bd des Anglais",,47.22671207,-1.58285255,,,1,,
BDEL,"Baudelaire",,47.23366160,-1.59301502,,,1,,
BDGL,"Bodiguel",,47.19847811,-1.65492143,,,1,,
BDIN,"Bodinière",,47.21000731,-1.64190242,,,1,,
BDLA,"Bout des Landes",,47.26744242,-1.58226680,,,1,,
BDNN,"Bourdonnais",,47.20637294,-1.57945954,,,1,,
BDOU,"Bd de Doulon",,47.22469671,-1.51977291,,,1,,
BDPA,"Bout des Pavés",,47.25269421,-1.57629132,,,1,,
BDRI,"Bourderies",,47.20664094,-1.59565658,,,1,,
BDSP,"Bd des Sports",,47.16559974,-1.46876821,,,1,,
BEDR,"Bel Endroit",,47.15470661,-1.63396536,,,1,,
BEGE,"Beauger",,47.23423318,-1.55305581,,,1,,
BEHI,"Béhinière",,47.19701789,-1.79093353,,,1,,
BEIL,"Beillevaire",,47.24956252,-1.60741126,,,1,,
DPBL,"Bêle",,47.26472488,-1.51048865,,,1,,
BEMZ,"Belges-Montbazon",,47.23461282,-1.54098400,,,1,,
BENA,"Beaulieu",,47.20411813,-1.53718842,,,1,,
BEOC,"Belloc",,47.20302214,-1.61455400,,,1,,
BESS,"Bessonneau",,47.21462890,-1.71349968,,,1,,
BETO,"Belle Etoile",,47.28018099,-1.45165075,,,1,,
BEVA,"Beauvaiserie",,47.13625604,-1.65437802,,,1,,
BGAR,"Bonne Garde",,47.19702208,-1.53125706,,,1,,
BGCY,"Beaugency",,47.20379533,-1.49024992,,,1,,
BGLA,"Basse-Goulaine",,47.21036202,-1.46600404,,,1,,
BGNN,"Bourgonnière",,47.20665817,-1.65539946,,,1,,
BGOG,"Bourgogne",,47.24630711,-1.58931505,,,1,,
BGRI,"Bougrière",,47.25501604,-1.47195795,,,1,,
BGSH,"Bergerie",,47.23794964,-1.62824352,,,1,,
BGTT,"Bergeronnettes",,47.23959521,-1.60125384,,,1,,
BGUT,"Louis Breguet",,47.27205303,-1.46602672,,,1,,
BGVI,"Bougainville",,47.19894579,-1.58359414,,,1,,
BHAR,"Bois Hardy",,47.19827606,-1.60059220,,,1,,
BHLR,"Basse Hillière",,47.28666678,-1.42683097,,,1,,
BIAN,"Aristide Briand",,47.29640065,-1.49503045,,,1,,
BIEE,"Belle Île",,47.22439959,-1.73275085,,,1,,
BIGN,"Bignons",,47.19981789,-1.49340125,,,1,,
BILE,"Basse Ile",,47.19567263,-1.56326908,,,1,,
BIND,"Basse Indre",,47.19786018,-1.67271604,,,1,,
BIOT,"Bigeottière",,47.25599275,-1.61952741,,,1,,
BJLI,"Bois Jaulin",,47.17757559,-1.63685031,,,1,,
BJOI,"Beaujoire",,47.25884014,-1.52488181,,,1,,
BLAV,"Balavoine",,47.30648713,-1.55427932,,,1,,
BLCH,"Blancho",,47.21355413,-1.73377668,,,1,,
BLDR,"Boulodrome",,47.25763488,-1.51513767,,,1,,
BLEM,"Belem",,47.26563709,-1.45300144,,,1,,
BLGO,"Berligout",,47.21567654,-1.67841379,,,1,,
BLL9,"Bellestre",,47.14846357,-1.69436915,,,1,,
BLLE,"Bellestre",,47.14793376,-1.69406522,,,1,,
BLNO,"Bois de La Noé",,47.14178867,-1.67142407,,,1,,
BLOR,"Blordière",,47.17991242,-1.53385179,,,1,,
BLSL,"Bellevue",,47.23541838,-1.47360365,,,1,,
BLUA,"Bélouga",,47.16580200,-1.58354505,,,1,,
BLVU,"Mendès-France-Bellevue",,47.20852569,-1.61165603,,,1,,
BLZZ,"Berlioz",,47.23970226,-1.57163772,,,1,,
BNCH,"Blanchetière",,47.28967380,-1.55609936,,,1,,
BNDA,"Brindais",,47.13897860,-1.71820971,,,1,,
BNET,"Bignonnet",,47.17553725,-1.46511578,,,1,,
BNIE,"Bournière",,47.25439588,-1.45524697,,,1,,
BNLU,"Bénélux",,47.25411511,-1.49914288,,,1,,
BNNO,"Bernanos",,47.20620280,-1.61373151,,,1,,
BNON,"Bignon",,47.24908296,-1.59771985,,,1,,
BNTA,"BN",,47.18431325,-1.49651937,,,1,,
BNVI,"Bonneville",,47.24389028,-1.53640618,,,1,,
BOCE,"Centre de Bouguenais",,47.17931447,-1.62297628,,,1,,
BODO,"Bourdonnières",,47.18642894,-1.52216850,,,1,,
BOFA,"Bouffay",,47.21460870,-1.55195955,,,1,,
BOGE,"Bourgeonnière",,47.25293409,-1.56122882,,,1,,
BOLL,"Bois Tillac",,47.20024463,-1.77122484,,,1,,
BOND,"Bonde",,47.22253740,-1.55187487,,,1,,
BORL,"Bourrelière",,47.15831350,-1.49835581,,,1,,
BOSI,"Boissière",,47.25494309,-1.56574073,,,1,,
BOTI,"Boutière",,47.15724784,-1.46804280,,,1,,
BOUE,"Bio Ouest Laënnec",,47.23270638,-1.64187191,,,1,,
BOVR,"Bouvre",,47.17821183,-1.61311926,,,1,,
BPTY,"Boulay Paty",,47.22881389,-1.57665988,,,1,,
BRAG,"Bois Raguenet",,47.26682671,-1.60034915,,,1,,
BRBI,"Bois Robillard",,47.23568017,-1.51990372,,,1,,
BRCH,"Bréchetière",,47.28477709,-1.50332935,,,1,,
BRDI,"Briandière",,47.18970915,-1.69205782,,,1,,
BRET,"Bretonnière",,47.16651436,-1.46289052,,,1,,
BRGA,"Beauregard",,47.21002642,-1.65697260,,,1,,
BRIN,"Brains",,47.17075177,-1.71889870,,,1,,
BRLA,"Brouillard",,47.27313261,-1.51493135,,,1,,
BRLN,"Berlin",,47.21648924,-1.53623353,,,1,,
BRNI,"Baronnière",,47.25959399,-1.60378548,,,1,,
BROS,"Brossais",,47.16258113,-1.58555429,,,1,,
BRTA,"Bretagne",,47.21709924,-1.55822138,,,1,,
BRUN,"Bruneau",,47.22831085,-1.56173506,,,1,,
BRVI,"Boris Vian",,47.15316280,-1.68363101,,,1,,
BSAN,"Bobby Sands",,47.22988866,-1.65303418,,,1,,
BSEJ,"Beauséjour",,47.23795164,-1.58605673,,,1,,
BSIS,"Bossis",,47.21258119,-1.71281589,,,1,,
BSNI,"Bussonnière",,47.26902545,-1.44305373,,,1,,
BSOL,"Beau Soleil",,47.17766190,-1.64478281,,,1,,
BSTI,"Bastière",,47.14834812,-1.45935784,,,1,,
BSYS,"Bois St-Lys",,47.30043222,-1.48208043,,,1,,
BTAI,"Brétinais",,47.22170065,-1.66577687,,,1,,
BTCY,"Lycée Bois Tillac",,47.20343111,-1.77027988,,,1,,
BTEC,"Bretéché",,47.22592749,-1.54749386,,,1,,
BTIE,"Bottière",,47.24024313,-1.51811685,,,1,,
BTLE,"Bouteillerie",,47.22167159,-1.54282219,,,1,,
BTRA,"Bertrand",,47.25712789,-1.57568980,,,1,,
BUGA,"Bugallière",,47.25996214,-1.63768218,,,1,,
BULA,"Butte des Landes",,47.16080750,-1.49378067,,,1,,
BUON,"Bougon",,47.17424115,-1.61071290,,,1,,
BUSS,"Buisson",,47.26062797,-1.48743916,,,1,,
BVDI,"Bouvardière",,47.23852184,-1.59839758,,,1,,
BVER,"Bouvernière",,47.23807988,-1.61132532,,,1,,
BVOI,"Beauvoir",,47.17851239,-1.63057890,,,1,,
BYCE,"Centre de Bouaye",,47.14396012,-1.69178590,,,1,,
BYGA,"Gare de Bouaye",,47.13840350,-1.68067539,,,1,,
BYTO,"Bouaye Coteaux",,47.16477019,-1.67882328,,,1,,
BZAR,"Buzardières",,47.20677231,-1.65990192,,,1,,
CABR,"Cabrol",,47.20328093,-1.58853732,,,1,,
CACE,"Centre de Carquefou",,47.29710622,-1.49005046,,,1,,
CADO,"Cadoire",,47.25673385,-1.48808660,,,1,,
CAGE,"Chalonges",,47.27613635,-1.42939758,,,1,,
CAHL,"Charlière",,47.32102226,-1.55057037,,,1,,
CAIO,"Caillou Blanc",,47.29867619,-1.58548503,,,1,,
CALI,"Californie",,47.19126412,-1.58435283,,,1,,
CANC,"Canclaux",,47.21382637,-1.57481021,,,1,,
CAPE,"Capellia",,47.27971448,-1.55497680,,,1,,
CARQ,"Carquefou",,47.30365167,-1.48548819,,,1,,
CAST,"Castorama",,47.25889176,-1.50715847,,,1,,
CATI,"Cartier",,47.26816466,-1.45556222,,,1,,
CATV,"CAT Vertonne",,47.18416147,-1.48210907,,,1,,
CAUX,"Château D'Aux",,47.18536593,-1.67455481,,,1,,
CBAC,"Bac de Couëron",,47.20598337,-1.75170597,,,1,,
CBEA,"Charbonneau",,47.30068698,-1.49070416,,,1,,
CBGE,"Chapeau Berger",,47.17100393,-1.46875604,,,1,,
CBIN,"Corbinerie",,47.16161915,-1.54216964,,,1,,
CBLE,"Chemin Bleu",,47.17822772,-1.52501183,,,1,,
CBOU,"Couëron Bougon",,47.22508102,-1.73386051,,,1,,
CBRD,"Claude Bernard",,47.22310732,-1.61193903,,,1,,
CBSS,"Cambronne",,47.20658880,-1.50644117,,,1,,
CBTE,"Choblèterie",,47.13620786,-1.46153344,,,1,,
CCAN,"Couchant",,47.26838555,-1.59953772,,,1,,
CCDI,"Cochardières",,47.22994281,-1.63320361,,,1,,
CCHA,"Couchant",,47.27020292,-1.51366167,,,1,,
CCLA,"Cimetière de la Classerie",,47.17078005,-1.55894662,,,1,,
CCOU,"Champ de Courses",,47.24498315,-1.56197183,,,1,,
CCRE,"Chêne Creux",,47.17040404,-1.54874939,,,1,,
CDAN,"Chêne des Anglais",,47.26152094,-1.57362988,,,1,,
CDCO,"Cité des Congrès",,47.21367185,-1.54501797,,,1,,
CDMA,"Champ de Manoeuvre",,47.27270482,-1.50074174,,,1,,
CEDR,"Cèdre",,47.29944073,-1.56025341,,,1,,
CEER,"Chapellerie",,47.28291508,-1.42312581,,,1,,
CELL,"Le Cellier",,47.32361957,-1.34771920,,,1,,
CFOI,"Champ de Foire",,47.12461313,-1.61853879,,,1,,
CGAU,"Cimetière de la Gaudinière",,47.24292433,-1.58285056,,,1,,
CGLA,"Chêne Gala",,47.18315380,-1.53923829,,,1,,
CHAB,"Chabossière",,47.21544882,-1.68236264,,,1,,
CHBE,"Chambelles",,47.23162967,-1.53058634,,,1,,
CHER,"La Cochère",,47.20044448,-1.77824516,,,1,,
CHFL,"Champ Fleuri",,47.14406886,-1.52571786,,,1,,
CHGN,"Châtaigniers",,47.22215639,-1.60287866,,,1,,
CHIN,"La Chesnaie",,47.28165303,-1.53751539,,,1,,
CHLI,"Cholière",,47.25102707,-1.60672562,,,1,,
CHME,"Charmes",,47.19080195,-1.46104727,,,1,,
CHNI,"Charbonnière",,47.26387299,-1.64181008,,,1,,
CHOC,"Chocolaterie",,47.24270600,-1.52794880,,,1,,
CHPO,"Champonnière",,47.16365142,-1.50573699,,,1,,
CHRE,"Chalâtres",,47.23108993,-1.53861300,,,1,,
CHSS,"Chaussée",,47.17664867,-1.52106736,,,1,,
CHTE,"Châtelets",,47.19725099,-1.54052347,,,1,,
CHVE,"Chauvais",,47.33733351,-1.57163166,,,1,,
CHZY,"Chanzy",,47.22353823,-1.54542983,,,1,,
CIFA,"CIFAM",,47.26672891,-1.48814027,,,1,,
CIGL,"Chai Gallais",,47.13687684,-1.72161486,,,1,,
CIVL,"Circuit du Vallon",,47.27365771,-1.44735100,,,1,,
CJOS,"Cimetière de St-Joseph-de-Porterie",,47.26813697,-1.52158403,,,1,,
CLAM,"Clos Ami",,47.21227700,-1.65700840,,,1,,
CLBO,"Clos Bonnet",,47.18917694,-1.56358856,,,1,,
CLET,"Clétras",,47.25552965,-1.51075294,,,1,,
CLGE,"Chalonges",,47.18916104,-1.47255701,,,1,,
CLMO,"Cimetière La Montagne",,47.18729268,-1.68645864,,,1,,
CLNA,"Colonac",,47.22412843,-1.60315611,,,1,,
CLOT,"Clotais",,47.19302513,-1.71820783,,,1,,
CLPT,"Clépettre",,47.29664257,-1.54707526,,,1,,
CLRO,"Clos Roux",,47.19812466,-1.74978398,,,1,,
CLSE,"Closeaux",,47.23995337,-1.62759856,,,1,,
CLTT,"Châlet",,47.23000511,-1.54408774,,,1,,
CLUE,"Clouet",,47.16753189,-1.51090184,,,1,,
CLZE,"Clouzeaux",,47.17930576,-1.49272643,,,1,,
CMAR,"Cirque - Marais",,47.21805985,-1.55724699,,,1,,
CMCI,"Clémencière",,47.26944711,-1.43567411,,,1,,
CMLL,"Charmille",,47.25717693,-1.60598862,,,1,,
CMNE,"Commune 1871",,47.19933781,-1.49970975,,,1,,
CMOU,"Clos du Moulin",,47.14511753,-1.52130508,,,1,,
CMRA,"Cormerais",,47.19475301,-1.62715773,,,1,,
CMSY,"Carrière Misery",,47.19978561,-1.58008758,,,1,,
CMUS,"Camus",,47.21913271,-1.57264675,,,1,,
CNAV,"Chantiers Navals",,47.20895696,-1.56727727,,,1,,
CNCE,"Chenonceau",,47.27263937,-1.43444392,,,1,,
CNGO,"Congo",,47.23965236,-1.61011890,,,1,,
CNLA,"Canal",,47.21611800,-1.47170042,,,1,,
CNNT,"Chemin Nantais",,47.28869323,-1.43372399,,,1,,
CNON,"Chinon",,47.27416824,-1.42899425,,,1,,
CNTR,"Centaure",,47.17007260,-1.62717988,,,1,,
CNVR,"Chêne Vert",,47.28625269,-1.43950764,,,1,,
COAY,"Corlay",,47.20794884,-1.64412854,,,1,,
COCH,"Cochard",,47.22459407,-1.54964461,,,1,,
COET,"Les Couëts",,47.18064454,-1.58674555,,,1,,
COHO,"Chohonnière",,47.26319622,-1.48603530,,,1,,
COLI,"Colinière",,47.23588381,-1.50841400,,,1,,
COMM,"Commerce",,47.21357223,-1.55598188,,,1,,
CONI,"Corniche",,47.25287901,-1.59469212,,,1,,
COQU,"Coquelicots",,47.22246368,-1.72890142,,,1,,
CORA,"Conraie",,47.26084370,-1.58826584,,,1,,
COST,"Cousteau",,47.23978169,-1.51305831,,,1,,
COTA,"Coutancière",,47.30620126,-1.56008462,,,1,,
COUD,"Coudray",,47.23249311,-1.54241706,,,1,,
CP3R,"Chapelles",,47.16354476,-1.53847942,,,1,,
CP4L,"Chapelle Laënnec",,47.23536751,-1.63783808,,,1,,
CPER,"Copernic",,47.21486324,-1.56468115,,,1,,
CPGT,"Capitaine Grant",,47.26183568,-1.66944367,,,1,,
CPRE,"Chaupières",,47.24317344,-1.49505175,,,1,,
CPTE,"Chapelet",,47.13210719,-1.64152997,,,1,,
CQGU,"Chat-qui-Guette",,47.19196413,-1.69711679,,,1,,
CQLU,"Coqueluchon",,47.18410051,-1.47034749,,,1,,
CRAI,"Clairais",,47.27556478,-1.43862013,,,1,,
CRBE,"Corberie",,47.15241896,-1.52381138,,,1,,
CRCE,"Courocerie",,47.25176590,-1.49937116,,,1,,
CREZ,"Château de Rezé",,47.18480505,-1.55970300,,,1,,
CRME,"Crémetterie",,47.21827616,-1.60835679,,,1,,
CRNO,"Corbon",,47.21332134,-1.46092737,,,1,,
CROU,"Chemin Rouge",,47.25169783,-1.51761998,,,1,,
CRPO,"Criport",,47.15831755,-1.50363779,,,1,,
CRQU,"Place du Cirque",,47.21697621,-1.55679798,,,1,,
CRRO,"Claire Roman",,47.15472868,-1.59131723,,,1,,
CRSA,"Croissant",,47.24101799,-1.52994279,,,1,,
CRTI,"Crétinières",,47.27653350,-1.55315709,,,1,,
CRVA,"Cravate",,47.24336474,-1.58843772,,,1,,
CSAY,"Chassay",,47.24585103,-1.48492755,,,1,,
CSCL,"Cimetière St-Clair",,47.21667619,-1.59297036,,,1,,
CSER,"La Chapelle-sur-Erdre",,47.29942423,-1.55005779,,,1,,
CSGR,"Cassegrain",,47.18778887,-1.48950197,,,1,,
CSHB,"Carrières",,47.20824804,-1.63807066,,,1,,
CSIB,"Clos Siban",,47.21021181,-1.64641182,,,1,,
CSMP,"Casimir Périer",,47.23198412,-1.56816468,,,1,,
CSRI,"Classerie",,47.16808464,-1.55875054,,,1,,
CSTA,"Collège Ste-Anne",,47.29495652,-1.49241167,,,1,,
CSTE,"Casterneau",,47.22714308,-1.53277404,,,1,,
CSVA,"Conservatoire",,47.20704960,-1.53303919,,,1,,
CTAR,"Cotalard",,47.28614972,-1.53770908,,,1,,
CTBO,"Coteaux",,47.18437689,-1.66932799,,,1,,
CTEU,"Caboteurs",,47.18638564,-1.58743057,,,1,,
CTIE,"Châtelier",,47.18484027,-1.59313035,,,1,,
CTLI,"Courteline",,47.23657256,-1.58688127,,,1,,
CTNS,"Carterons",,47.21822349,-1.73928815,,,1,,
CTOR,"Clos Toreau",,47.19439301,-1.52908506,,,1,,
CTRE,"Chantrerie",,47.28179922,-1.51701187,,,1,,
CTYY,"Coty",,47.24898498,-1.48819363,,,1,,
CUGA,"Gare de Couëron",,47.22181322,-1.72435658,,,1,,
CUIE,"Chausserie",,47.14946482,-1.70434728,,,1,,
CUPI,"Coupries",,47.19158591,-1.46731259,,,1,,
CURI,"Curie",,47.19046894,-1.48744749,,,1,,
CUVI,"Cuvier",,47.21046286,-1.57333508,,,1,,
CVBL,"Cheveux Blancs",,47.26545709,-1.63504746,,,1,,
CVDO,"Cimetière de Vieux Doulon",,47.23849235,-1.50040266,,,1,,
CVER,"Chapeau Verni",,47.18903931,-1.50874841,,,1,,
CVLE,"Chevalerie",,47.25221480,-1.54517072,,,1,,
CVNI,"Chauvinière",,47.25157511,-1.57210879,,,1,,
CVRN,"Cheverny",,47.24595568,-1.60489667,,,1,,
CVTI,"Convention",,47.21145223,-1.58662535,,,1,,
CXFS,"Croix des Fosses",,47.21251409,-1.46628916,,,1,,
CZIN,"Chézine",,47.23372865,-1.59897057,,,1,,
DAKK,"Danemark",,47.26097867,-1.49857702,,,1,,
DALB,"Dalby",,47.22564089,-1.52922790,,,1,,
DANU,"Danube",,47.30455016,-1.50183802,,,1,,
DAVU,"Davum",,47.26475017,-1.49620153,,,1,,
DAYA,"Dayat",,47.20086884,-1.67426307,,,1,,
DCAN,"Duchesse Anne-Château",,47.21630505,-1.54705966,,,1,,
DCFF,"Du Chaffault",,47.20748089,-1.58157605,,,1,,
DEMO,"Desmoulins",,47.23347087,-1.52133117,,,1,,
DERV,"Dervallières",,47.22879628,-1.59834319,,,1,,
DIAN,"Diane",,47.23966265,-1.57811502,,,1,,
DIDE,"Espace Diderot",,47.18451832,-1.56285281,,,1,,
DLCR,"Delacroix",,47.22360815,-1.58936784,,,1,,
DLLE,"Drillet",,47.23483550,-1.66623091,,,1,,
DLME,"Delorme",,47.21537117,-1.56404403,,,1,,
DMAI,"Domaine",,47.17844857,-1.46968144,,,1,,
DMUR,"Dumont d'Urville",,47.22587166,-1.63633918,,,1,,
DNAI,"Danais",,47.21364221,-1.58976012,,,1,,
DOCE,"Doucet",,47.27796857,-1.63266866,,,1,,
DOLT,"Dolto",,47.21650999,-1.63617274,,,1,,
DOME,"Doumer",,47.22164900,-1.57811882,,,1,,
DOTT,"Douettée",,47.20773331,-1.49912218,,,1,,
DPTE,"Déportés",,47.19715306,-1.49228559,,,1,,
DRAD,"Désirade",,47.27784786,-1.48417198,,,1,,
DRID,"Druides",,47.23861884,-1.50742048,,,1,,
DRLA,"Drouillard",,47.18013487,-1.67733351,,,1,,
DROI,"Droitière",,47.30794338,-1.37325031,,,1,,
DSAI,"Desaix",,47.22624932,-1.54328641,,,1,,
DSNE,"Desnerie",,47.27793949,-1.54081936,,,1,,
DUKA,"Dukas",,47.23522868,-1.60251920,,,1,,
DUNA,"Dunant",,47.24391081,-1.52155536,,,1,,
DUTR,"Duguay Trouin",,47.22429674,-1.61665433,,,1,,
EBCA,"Embarcadère",,47.19408468,-1.64653306,,,1,,
ECBU,"Écobuts",,47.19393956,-1.50764703,,,1,,
ECHO,"Échoppes",,47.14306629,-1.68643787,,,1,,
ECOS,"Écosse",,47.21511407,-1.52622014,,,1,,
ECSU,"École Centrale-Audencia",,47.24812474,-1.55161943,,,1,,
ECTE,"Enchanterie",,47.23061054,-1.52337263,,,1,,
EDIP,"Edith Piaf",,47.22827482,-1.62408849,,,1,,
EDNA,"Édit de Nantes",,47.21443813,-1.56845711,,,1,,
EDRE,"Erdreau",,47.29114983,-1.50127235,,,1,,
EGAN,"Eglantine",,47.23517102,-1.58836532,,,1,,
EGLI,"Egalité",,47.20922862,-1.58844494,,,1,,
EINS,"Einstein",,47.26413048,-1.57104228,,,1,,
ELIS,"Eglise",,47.16854462,-1.72018447,,,1,,
EMBE,"Embellie",,47.26472122,-1.51869135,,,1,,
ENCO,"Ennerie - Corbon",,47.14187671,-1.70496308,,,1,,
EPEL,"Écoles",,47.19752281,-1.75912140,,,1,,
EPIN,"Épinais",,47.13623648,-1.61055297,,,1,,
EPYY,"Epinay",,47.29234637,-1.48692971,,,1,,
EQPE,"Équipement",,47.22381394,-1.57536864,,,1,,
ERAC,"Erdre Active",,47.28314269,-1.54410872,,,1,,
ERDI,"Éraudière",,47.24261575,-1.53520295,,,1,,
ESCA,"Escall",,47.19939893,-1.50328200,,,1,,
ESOR,"Écoles",,47.14665823,-1.52907292,,,1,,
ESUE,"Eugène Sue",,47.23328862,-1.59602902,,,1,,
EUCA,"Europe",,47.26016529,-1.50407499,,,1,,
EUVE,"Europe",,47.17300614,-1.47629459,,,1,,
EVET,"École Vétérinaire",,47.29095344,-1.52336413,,,1,,
EVRD,"Evardière",,47.29879071,-1.56616373,,,1,,
FACU,"Facultés",,47.24682767,-1.55536079,,,1,,
FADI,"Fardière",,47.19841902,-1.60694590,,,1,,
FALI,"Fallières",,47.22493741,-1.57941718,,,1,,
FANE,"Faneurs",,47.21377376,-1.70193386,,,1,,
FATA,"Fantaisie",,47.25283697,-1.56942314,,,1,,
FAUV,"Fauvelière",,47.28299968,-1.50531922,,,1,,
FBAU,"François Baudry",,47.26228759,-1.67199149,,,1,,
FBLA,"Fresche Blanc",,47.25290149,-1.55686119,,,1,,
FDDR,"Fac de Droit",,47.24369562,-1.55209091,,,1,,
FDLE,"Fac de Lettres",,47.24541603,-1.55181925,,,1,,
FERI,"Ferrière",,47.24445633,-1.59076630,,,1,,
FFAU,"Félix Faure",,47.22698903,-1.56938663,,,1,,
FGRI,"Fief Guérin",,47.14388036,-1.66049085,,,1,,
FLAN,"Flandre",,47.28575364,-1.54681321,,,1,,
FLEU,"Fleuriaye",,47.29920327,-1.50012990,,,1,,
FLRI,"Floride",,47.21348186,-1.60369399,,,1,,
FLTR,"Flora Tristan",,47.17579736,-1.54372512,,,1,,
FLUR,"Fleurs",,47.21590864,-1.71809144,,,1,,
FMIT,"François Mitterrand",,47.22203468,-1.63790515,,,1,,
FNLL,"Fresnel",,47.24286067,-1.52333113,,,1,,
FNSO,"Fenaison",,47.26970664,-1.59248947,,,1,,
FOCH,"Foch-Cathédrale",,47.21879002,-1.55055815,,,1,,
FOND,"Fonderies",,47.20641203,-1.54396268,,,1,,
FORU,"Forum d'Orvault",,47.25443054,-1.61517856,,,1,,
FOTA,"Fontaine",,47.20554189,-1.48918540,,,1,,
FOUL,"Foulquier",,47.30972771,-1.54630536,,,1,,
FRAC,"Frachon",,47.21895013,-1.62022527,,,1,,
FRBA,"Frébaudière",,47.27223426,-1.62655239,,,1,,
FRCH,"Fraîches",,47.17455019,-1.48948053,,,1,,
FRET,"Forêt",,47.24434320,-1.57554795,,,1,,
FRGA,"Frégate",,47.23524567,-1.47610372,,,1,,
FRII,"François II",,47.21848493,-1.68311956,,,1,,
FRKL,"Franklin",,47.22590418,-1.61968194,,,1,,
FRMO,"Frémoire",,47.15328061,-1.47634280,,,1,,
FRNE,"Frênes",,47.25323850,-1.48757200,,,1,,
FRON,"Frêne Rond",,47.19026089,-1.49641680,,,1,,
